"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000129422",-2.99034080839859,3.29721697706076,-9.52293477025037,2.20733589930291e-07,7.03994647267157e-06,"ENSG00000129422","MTUS1"
"ENSG00000128918",-9.9742343418479,2.29748451728553,-9.60439204619651,2.21391629348361e-07,7.0510443296663e-06,"ENSG00000128918","ALDH1A2"
"ENSG00000139144",-5.62739086784908,-1.96778188931258,-9.49835827970143,2.30800103232359e-07,7.33257409535477e-06,"ENSG00000139144","PIK3C2G"
"ENSG00000100767",3.44508616545032,2.71053382746672,9.48493512039864,2.30876123670801e-07,7.33257409535477e-06,"ENSG00000100767","PAPLN"
"ENSG00000254470",-2.18014096277001,4.90656145908231,-9.42337363776962,2.47872527242036e-07,7.86139647068884e-06,"ENSG00000254470","AP5B1"
"ENSG00000150093",-1.59501782601504,9.10196032054304,-9.41580103544695,2.50081508619174e-07,7.915468402399e-06,"ENSG00000150093","ITGB1"
"ENSG00000165685",-5.9130484242607,-2.57067406062146,-9.43127399728062,2.50571859144405e-07,7.915468402399e-06,"ENSG00000165685","TMEM52B"
"ENSG00000276644",-5.91150471081474,-0.269554937676617,-9.43108641604363,2.50621690841129e-07,7.915468402399e-06,"ENSG00000276644","DACH1"
"ENSG00000165495",-3.38452731598704,3.69976519049227,-9.40381278330259,2.5384020407341e-07,8.0060003337439e-06,"ENSG00000165495","PKNOX2"
"ENSG00000211448",-8.96756143260805,-0.339986579441492,-9.45042799071542,2.59233954829212e-07,8.16479242772338e-06,"ENSG00000211448","DIO2"
"ENSG00000197565",-1.89244748444119,5.73086909285797,-9.38046869149782,2.60680365581486e-07,8.19899241123511e-06,"ENSG00000197565","COL4A6"
"ENSG00000104833",4.13618546287398,2.3070931547866,9.37604281102926,2.6293143635083e-07,8.25837135720699e-06,"ENSG00000104833","TUBB4A"
"ENSG00000235205",-4.38978629781273,-2.5227604784987,-9.37074676148596,2.64953260363678e-07,8.30526940688613e-06,"ENSG00000235205","TATDN2P3"
"ENSG00000182667",2.91869134213235,3.55247244104749,9.36619627659786,2.65160467845403e-07,8.30526940688613e-06,"ENSG00000182667","NTM"
"ENSG00000012171",-3.11706509118421,3.70489013286121,-9.36520966750375,2.65520266438268e-07,8.30526940688613e-06,"ENSG00000012171","SEMA3B"
"ENSG00000271824",-6.86149475914609,0.0637581123510148,-9.38726417122849,2.67819706003777e-07,8.36568697050258e-06,"ENSG00000271824","SMIM32"
"ENSG00000163803",-5.61612439354383,0.758748436241119,-9.36978871320544,2.68314479510051e-07,8.36964508101311e-06,"ENSG00000163803","PLB1"
"ENSG00000141668",-6.74795754088821,-1.44186571342575,-9.36660312049323,2.73888245035495e-07,8.53180642754406e-06,"ENSG00000141668","CBLN2"
"ENSG00000101441",-4.52594761117031,-2.68758114193791,-9.33484921737019,2.76661892547891e-07,8.60641783384275e-06,"ENSG00000101441","CST4"
"ENSG00000019505",2.75430379257016,3.12720930416809,9.3258314472483,2.78064990960275e-07,8.63824848966755e-06,"ENSG00000019505","SYT13"
"ENSG00000116852",3.32049843026836,4.45625721582308,9.32301017740271,2.79160929078789e-07,8.66046320225329e-06,"ENSG00000116852","KIF21B"
"ENSG00000154928",-2.47605671968694,4.52636744377313,-9.31613514445149,2.81244416618935e-07,8.7132125802651e-06,"ENSG00000154928","EPHB1"
"ENSG00000120675",-2.3114958710326,5.40556133876246,-9.30215493455275,2.85929050270777e-07,8.84629469817344e-06,"ENSG00000120675","DNAJC15"
"ENSG00000237330",-4.81957544516954,-3.04254125306072,-9.30445479625255,2.87440125818019e-07,8.87721399983487e-06,"ENSG00000237330","RNF223"
"ENSG00000169393",-5.39500435186836,-2.92190613213234,-9.30849640511791,2.87709178446715e-07,8.87721399983487e-06,"ENSG00000169393","ELSPBP1"
"ENSG00000139574",-5.78741483336416,1.32204645971188,-9.30680875130502,2.89684027219861e-07,8.92603628588027e-06,"ENSG00000139574","NPFF"
"ENSG00000178718",3.36374362215543,2.97469775633606,9.28801781074102,2.90991152483164e-07,8.9541797124048e-06,"ENSG00000178718","RPP25"
"ENSG00000102996",-1.80701722556753,6.92191087425844,-9.28450884338773,2.91965395311062e-07,8.97201768834264e-06,"ENSG00000102996","MMP15"
"ENSG00000177508",-4.52852874340934,1.89451384959222,-9.28661822091629,2.92922314233205e-07,8.98927587808783e-06,"ENSG00000177508","IRX3"
"ENSG00000171621",-2.94076632663468,2.69867068247136,-9.27478918263603,2.95428093787356e-07,9.05395532712195e-06,"ENSG00000171621","SPSB1"
"ENSG00000099994",-3.58813132516795,1.8706708538384,-9.2731142434486,2.9633341637941e-07,9.06947764262152e-06,"ENSG00000099994","SUSD2"
"ENSG00000162595",-5.28882113389997,-2.42807568443227,-9.27634152746913,2.98540193929145e-07,9.12473657251176e-06,"ENSG00000162595","DIRAS3"
"ENSG00000108557",-4.94070936861819,3.63679614599031,-9.26386667566022,3.01943667311718e-07,9.21637448948788e-06,"ENSG00000108557","RAI1"
"ENSG00000174672",2.78958787253521,3.51853394003033,9.25180139249858,3.03575091984419e-07,9.25375012295669e-06,"ENSG00000174672","BRSK2"
"ENSG00000198842",-5.92979221457396,0.497380781931736,-9.26730631661361,3.0417846387089e-07,9.25972994434274e-06,"ENSG00000198842","STYXL2"
"ENSG00000135926",-2.16559355092719,5.47549276823286,-9.24866955254031,3.04662243684933e-07,9.26205804999382e-06,"ENSG00000135926","TMBIM1"
"ENSG00000182578",-7.98267204395766,-0.0369171284635653,-9.29376469540354,3.05559938765017e-07,9.27694660549598e-06,"ENSG00000182578","CSF1R"
"ENSG00000183837",3.21075309727865,2.4757236082924,9.24315132748161,3.06839769615229e-07,9.30338181473373e-06,"ENSG00000183837","PNMA3"
