"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000154096",-2.04800403247097,8.25816837192222,-18.9659059343407,1.47408501552591e-12,4.65733281484319e-10,"ENSG00000154096","THY1"
"ENSG00000135111",13.5944325805547,-1.15114751023697,19.0373713660276,1.54109597080994e-12,4.75555737380453e-10,"ENSG00000135111","TBX3"
"ENSG00000112343",3.39172021198718,3.07098281234701,18.8959728667504,1.55880679457332e-12,4.75555737380453e-10,"ENSG00000112343","TRIM38"
"ENSG00000171345",1.71178774201193,7.2872785538693,18.891230317114,1.56458867454005e-12,4.75555737380453e-10,"ENSG00000171345","KRT19"
"ENSG00000185477",4.77188019748162,3.17014883754736,18.6688168217352,1.87363393135175e-12,5.62371224495227e-10,"ENSG00000185477","GPRIN3"
"ENSG00000158055",6.48103529808432,1.88373846112953,18.5271963653011,2.11685335814288e-12,6.27529417725023e-10,"ENSG00000158055","GRHL3"
"ENSG00000185155",7.02129958206493,4.04963180233262,18.172948246016,2.84268890934514e-12,8.26737371672319e-10,"ENSG00000185155","MIXL1"
"ENSG00000138764",3.03430983214093,4.2811293240509,18.1513328885258,2.85770455808773e-12,8.26737371672319e-10,"ENSG00000138764","CCNG2"
"ENSG00000173947",3.11776054446846,3.302414829735,18.0508353476731,3.10674222450323e-12,8.88084455890138e-10,"ENSG00000173947","PIFO"
"ENSG00000179761",-3.26065793625629,4.78108348651382,-17.976807567481,3.30491642272921e-12,9.33619448736163e-10,"ENSG00000179761","PIPOX"
"ENSG00000100473",2.49916845296347,4.58855250997512,17.960093624818,3.35127662303805e-12,9.35707607818483e-10,"ENSG00000100473","COCH"
"ENSG00000157570",2.23127428631867,5.7731667705908,17.8016896683701,3.82861991096146e-12,1.05669909542536e-09,"ENSG00000157570","TSPAN18"
"ENSG00000144749",-2.87348039652888,6.81945425069336,-17.7722541159399,3.92506468542976e-12,1.07100742302886e-09,"ENSG00000144749","LRIG1"
"ENSG00000135074",2.12174597009701,6.3104247319499,17.6747552213606,4.26309380188627e-12,1.14895255341537e-09,"ENSG00000135074","ADAM19"
"ENSG00000105251",4.38606387105537,2.33847815328392,17.6638454042233,4.30641886587468e-12,1.14895255341537e-09,"ENSG00000105251","SHD"
"ENSG00000266074",7.11817112862085,2.8501062463352,17.5872644499026,4.65565719666132e-12,1.22118299364219e-09,"ENSG00000266074","BAHCC1"
"ENSG00000016082",8.37697932469302,-1.06581003645806,17.5919657107348,4.69513060457549e-12,1.22118299364219e-09,"ENSG00000016082","ISL1"
"ENSG00000180828",8.85909478209116,-4.32358258918534,17.5900566259011,4.72971924074312e-12,1.22118299364219e-09,"ENSG00000180828","BHLHE22"
"ENSG00000158270",3.27652487080876,2.52597897834838,17.4764681721003,5.04999171740883e-12,1.29000426721724e-09,"ENSG00000158270","COLEC12"
"ENSG00000108950",7.43588516837205,2.40180531822656,17.4285903694613,5.34883008589515e-12,1.35195903181594e-09,"ENSG00000108950","FAM20A"
"ENSG00000061492",11.6539117804624,-1.45069858821895,17.447387227525,5.56237442087777e-12,1.39128890202205e-09,"ENSG00000061492","WNT8A"
"ENSG00000162636",2.08450560943961,5.74102110482719,17.178548339937,6.53411914791685e-12,1.61749761834824e-09,"ENSG00000162636","FAM102B"
"ENSG00000099994",4.39145559463691,2.14451481211882,17.1668951514644,6.60652992088022e-12,1.6187346577569e-09,"ENSG00000099994","SUSD2"
"ENSG00000166710",1.85588310829326,6.01429077693621,17.0685082710877,7.1940319399409e-12,1.74487974688748e-09,"ENSG00000166710","B2M"
"ENSG00000125266",2.17990248089737,4.55584738176007,16.9288682203009,8.13485048466555e-12,1.95334029837789e-09,"ENSG00000125266","EFNB2"
"ENSG00000100095",7.86902935381945,2.52984671953876,16.9398923030122,8.22521856462424e-12,1.95548463538373e-09,"ENSG00000100095","SEZ6L"
"ENSG00000102096",-2.11626493721461,6.30414886834606,-16.822306878591,8.94026240830064e-12,2.08944832326388e-09,"ENSG00000102096","PIM2"
"ENSG00000113657",-2.10794104164706,8.9581784386423,-16.8194815442654,8.96273435349742e-12,2.08944832326388e-09,"ENSG00000113657","DPYSL3"
"ENSG00000116679",1.50679411009291,8.48708517949872,16.7706582291074,9.3606693531994e-12,2.161234543356e-09,"ENSG00000116679","IVNS1ABP"
